"","name","yrnom","posit","recess","success","id","analu","seatid","spaethid","zukid","birdate","biryear","birthcit","birthst","childcit","childst","childsur","famses","famjud","nomrelig","natorig","race","gender","mothname","fathname","fathoccu","fathpol","fathpoln","undsch","undsta","unddat","undschn","gradsch","gradsta","graddat","gradschn","lawsch","lawsta","lawdat","lawschn","read","readst","readyr","readn","marryn","spouse","marryr","child","militbr","milityr1","milityr2","militran","militwar","clerkj","clerkyr1","clerkyr2","barst1","baryr1","barst2","baryr2","barst3","baryr3","privtyp1","privst1","privyrf1","privyrl1","privtyp2","privst2","privyrf2","privyrl2","schname1","schrank1","schyrf1","schyrl1","schname2","schrank2","schyrf2","schyrl2","schn","schcon","sttrist","sttriyr1","sttriyr2","stapst","stapyr1","stapyr2","stsupst","stsupyr1","stsupyr2","feddist","feddi","feddiyr1","feddiyr2","fedca","fedcayr1","fedcayr2","usasat","usasat1","usasat2","usat","usat1","usat2","ussgo1","ussgo2","ussg1","ussg2","usago1","usago2","usag1","usag2","uscab","uscab1","uscab2","ussec","ussec1","ussec2","usage","usage1","usage2","usagh","usagh1","usagh2","uspres1","uspres2","ushr1","ushryrf1","ushryrl1","ushr2","ushryrf2","ushryrl2","ussn1","ussnyrf1","ussnyrl1","ussn2","ussnyrf2","ussnyrl2","conconv","concong","concong1","concong2","artcon","artcon1","artcon2","artconsp","citat","citat1","citat2","cdep","cdep1","cdep2","cdis","cdis1","cdis2","saag","saag1","saag2","stag","stag1","stag2","ltgov","ltgov1","ltgov2","gov","gov1","gov2","stcab","stcab1","stcab2","mayor","mayor1","mayor2","stsenate","stsen1","stsen2","sthouse","sthse1","sthse2","ctycl","ctycl1","ctycl2","commsn","commsn1","commsn2","datenom","datesen","judnom","usjnom","stjnom","prsznom","prstnom","prposnom","prschnom","govatnom","uslenom","uslesnom","stlenom","stlesnom","stexpnom","stexsnom","usexnom","yrposnom","agenom","stnom","parnom","prparnom","prdssr","presname","prespart","nompres","socpres","econpres","senparty","nomsen","ideo","mednmq1","medmq1","mednmq2","medmq2","qual","abarate","abavote","heardate","heardays","comdvote","comvote","intpro","intanti","sendate","senact","sensupp","senopp","serve","withdraw","dateserb","npart","nops","judgment","ndis","nconr","ncons","percrim","ncrim","percr","ncr","perfir","nfir","perunn","nunn","perecon","necon","perfed","nfed","perftax","nftax","datesere","agedep","reasdep","postdep","scssr","deathd","deathcit","deathst","deathag","JID"
"135","Clark, Tom Campbell",1949,"associat","no, not","yes, nom","135. clark, tom campbell","first re",6.13,"88","888","09/23/1899",1899,"dallas,","texas","dallas,","texas","urban (l","upper-mi","no tradi","presbyte","scotch","white","male","Falls, Jennie","Clark, William H.","lawyer","state lo","1","texas, u","graduate","1921","2","no gradu","no gradu","no gradu","no gradu","texas, u","graduate","1922","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Ramsey, Mary Jane","1924","3","army","1918","1918","infantry","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","texas","1922","nominee","nominee","nominee","nominee","law  fir","texas","1922","1927","law  fir","texas","1932","1937","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","1937","1945","1945","1949","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","texas","1927","1932","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","8/2/49","8/2/49","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","u.s. att","nominee","nominee","nominee","nominee","888","nominee","nominee","4",49,"texas","democrat","no known","Murphy, Francis (Frank) William","truman, harry s.","democrat","-0.368","74.3","74.6","democrat",0.019,"0.5","reed, st","0.476","frankfur","0.56","0.125","no aba rating","no aba r","8/9/49","3","8/12/49","reported","15","14","8/18/49","confirme","73","8","nominee","888. NOMINATION NOT WITHDRAWN","8/24/49","1863","215","27","112","15","24","34.88","324","55.96","218","36.6","153","64.34","129","71.01","476","55.81","86","73.64","129","6/12/67","67","departure due to potential conflict of interest","american","Marshall, Thurgood","6/13/77","new york","new york","77",88
"136","Minton, Sherman",1949,"associat","no, not","yes, nom","136. minton, sherman","first re",4.2,"89","07.03.05","10/20/1890",1890,"georgeto","indiana","new alba","indiana","family f","lower-mi","no tradi","protesta","english","white","male","Lyvers, Emma","Minton, John E.","small farmer","no polit","no polit","no under","no under","no under","no under","yale uni","ll.m (af","1917","1","indiana","graduate","1915","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Gurtz, Gertrude","1917","3","army","1917","1918","captain","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","indiana","1915","nominee","nominee","nominee","nominee","solo pra","indiana","1915","1917","law  fir","indiana","1928","1933","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","court of","1941","1949","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","indiana","1935","1941","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","9/15/49","9/15/49","u.s. cou","u.s. cou","nominee","not a pv","not a pv","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","nominee","8",58,"indiana","democrat","no known","Rutledge, Wiley Blount","truman, harry s.","democrat","-0.368","74.3","74.6","democrat",0.019,"0.72","reed, st","0.476","frankfur","0.56","0.355","no aba rating","no aba r","9/27/49","1","10/3/49","reported","3","0","10/4/49","confirme","48","16","nominee","888. NOMINATION NOT WITHDRAWN","10/12/49","637","64","1","40","0","4","28.41","88","39.71","68","28.21","39","58.33","36","59.24","184","56.67","30","71.11","45","10/15/56","65","declining health","justice","Brennan, William Joseph, Jr.","4/9/65","new alba","indiana","74",89
"138","Warren, Earl",1954,"chief ju","no, not","yes, nom","138. warren, earl","second r",1.2,"90","888","03/19/1891",1891,"los ange","californ","bakersfi","californ","small to","lower-mi","no tradi","protesta","scandinavian","white","male","Hernlund, Chrystal","Warren, Methias","railroad car mechanic","no polit","no polit","californ","graduate","1912","1","no gradu","no gradu","no gradu","no gradu","californ","graduate","1914","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Meyers, Nina P.","1925","6","army","1917","1918","lieutena","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","californ","1914","nominee","nominee","nominee","nominee","counsel","californ","1914","1915","law  fir","californ","1915","1917","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","oakland,","1919","1920","californ","1920","1925","californ","1925","1939","nominee","nominee","nominee","californ","1939","1943","nominee","nominee","nominee","californ","1943","1953","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","1/11/54","1/11/54","u.s. sup","u.s. sup","nominee","not a pv","not a pv","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","nominee","1",62,"californ","republic","no known","Vinson, Fred Moore","eisenhower, dwight david","republic","0.302","36.9","38.8","democrat",0.077,"0.75","clark, t","1.022","clark, t","0.573","0.855","no aba rating","no aba r","2/2/54","2","2/24/54","reported","2","4","3/1/54","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","3/2/54","1754","165","23","55","10","12","74.56","342","82.81","221","82.35","153","72","125","81.59","440","74.67","75","78.76","113","6/23/69","78","advanced age","justice","Burger, Warren Earl","7/9/74","washingt","district","83",90
"140","Harlan, John Marshall (II)",1955,"associat","no, not","yes, nom","140. harlan, john marshall (ii)","second r",10.06,"91","02.02.04","05/20/1899",1899,"chicago,","illinois","chicago,","illinois","urban (l","upper","yes, tra","presbyte","english","white","male","Flagg, Elizabeth","Harlan, John M.","lawyer","state lo","1","princeto","graduate","1920","1","oxford u","rhodes s","1923","1","new york","graduate","1925","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Andrews, Ethel","1928","1","army air","1943","1945","colonel","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","new york","1925","nominee","nominee","nominee","nominee","law  fir","new york","1925","1925","law  fir","new york","1953","1954","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","court of","1954","1955","new york","1925","1927","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","new york","1928","1930","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","1/10/55","1/10/55","u.s. cou","u.s. cou","nominee","not a pv","not a pv","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","nominee","1",55,"new york","republic","no known","Jackson, Robert Houghwout","eisenhower, dwight david","republic","0.302","36.9","38.8","democrat",0.046,"0.875","clark, t","0.573","frankfur","0.403","0.75","no aba rating","no aba r","2/25/55","1","3/10/55","reported","4","4","3/16/55","confirme","71","11","nominee","888. NOMINATION NOT WITHDRAWN","3/28/55","1825","165","25","311","81","121","39.02","369","45.31","256","44.44","180","55.04","129","38.4","401","55.84","77","69.72","109","9/23/71","72","declining health","justice","Rehnquist, William Hubbs","12/29/71","washingt","district","72",91
"142","Brennan, William Joseph, Jr.",1957,"associat","no, not","yes, nom","142. brennan, william joseph, jr.","second r",4.22,"92","888","4/25/06",1906,"newark,","new jers","newark,","new jers","urban (l","middle","no tradi","roman ca","irish","white","male","McDermott, Agnes","Brennan, William J.","labor organizer","state lo","1","pennsylv","graduate","1928","1","no gradu","no gradu","no gradu","no gradu","harvard","graduate","1931","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","2","Fowler, Mary","1983","3","army","1942","1946","colonel","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","new jers","1931","nominee","nominee","nominee","nominee","law  fir","new jers","1931","1942","law  fir","new jers","1945","1949","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","new jers","1949","1950","new jers","1950","1952","new jers","1952","1956","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","1/14/57","1/14/57","u.s. sup","u.s. sup","nominee","not a pv","not a pv","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","nominee","1",50,"new jers","democrat","no known","Minton, Sherman","eisenhower, dwight david","republic","0.302","36.9","38.8","democrat",0.047,"1","frankfur","0.644","clark, t","0.259","1","eminently qualified","unanimou","2/26/57","2","3/4/57","reported","0","1","3/19/57","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","3/22/57","4427","429","19","457","114","143","76.09","937","83.07","762","84.46","399","66.09","233","71.66","854","67.19","192","70.22","178","7/20/90","84","advanced age","justice","Souter, David H.","7/24/97","arlingto","virginia","91",92
"143","Whittaker, Charles Evans",1957,"associat","no, not","yes, nom","143. whittaker, charles evans","first re",7.13,"93","08.03.05","2/22/01",1901,"troy, ka","kansas","troy, ka","kansas","family f","lower-mi","no tradi","methodis","english","white","male","Miller, Ida","Whittaker, Charles","farm owner","no polit","no polit","no under","no under","no under","no under","no gradu","no gradu","no gradu","no gradu","kansas c","graduate","1924","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Pugh, Winifred R.","1928","3","did not","did not","did not","did not","did not","nominee did not clerk for a supreme court justice","nominee","nominee","missouri","1923","nominee","nominee","nominee","nominee","law  fir","missouri","1923","1954","only one","only one","only one","only one","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","missouri","missouri","1954","1956","court of","1956","1957","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","3/2/57","3/2/57","u.s. cou","u.s. cou","nominee","not a pv","not a pv","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","nominee","1",56,"missouri","republic","no known","Reed, Stanley Forman","eisenhower, dwight david","republic","0.302","36.9","38.8","democrat",0.047,"0.5","frankfur","0.644","clark, t","0.259","1","eminently qualified","unanimou","3/18/57","1","3/18/57","reported","3","0","3/19/57","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","3/25/57","561","42","0","52","6","12","43.48","115","47.27","55","37.04","54","42.5","40","33.78","148","56.52","23","60","40","3/31/62","61","declining health","justice","White, Byron Raymond","11/26/73","kansas c","missouri","72",93
"145","Stewart, Potter",1959,"associat","no, not","yes, nom","145. stewart, potter","second r",9.17,"94","06.04.02","1/23/15",1915,"jackson,","michigan","cincinna","ohio","urban (l","upper","yes, tra","episcopa","english","white","male","Potter, Harriet  L.","Stewart, James G.","lawyer","city may","2","yale uni","graduate","1937","1","cambridg","attended","1938","1","yale uni","graduate","1941","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Bertles, Mary Ann","1943","3","navy","1942","1945","lieutena","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","ohio","1942","new york","1942","nominee","nominee","law  fir","new york","1941","1942","law  fir","ohio","1947","1954","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","court of","1954","1958","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","cincinna","1950","1953","nominee did not serve on a st commission","nominee","nominee","1/17/59","1/17/59","u.s. sup","u.s. sup","nominee","not a pv","not a pv","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","nominee","1",43,"ohio","republic","no known","Burton, Harold Hitz","eisenhower, dwight david","republic","0.302","36.9","38.8","democrat",-0.1475,"0.75","clark, t","0.609","clark, t","0.535","1","exceptionally well qualified","divided","4/9/50","2","4/20/59","reported","3","3","5/5/59","confirme","70","17","nominee","888. NOMINATION NOT WITHDRAWN","5/15/59","2861","304","20","225","72","101","45.85","602","50.39","514","64.04","267","58.18","165","45.34","558","59.8","102","66.12","121","7/3/81","66","departed to spend more time with family","justice","O'Connor, Sandra Day","12/7/85","hanover,","new hamp","70",94
"146","White, Byron Raymond",1962,"associat","no, not","yes, nom","146. white, byron raymond","first re",7.14,"95","888","6/8/17",1917,"fort col","colorado","wellingt","colorado","small to","middle","no tradi","episcopa","english","white","male","Burger, Maude","White, Alpha A.","lumber company","city may","1","colorado","graduate","1938","1","oxford u","rhodes s","1939","1","yale uni","graduate","1946","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Stearns, Marion","1946","2","navy","1942","1946","lieutena","world wa","fred vinson","1946","1947","colorado","1947","nominee","nominee","nominee","nominee","law  fir","colorado","1947","1961","only one","only one","only one","only one","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","1961","1962","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","4/3/62","4/3/62","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","u.s. ass","nominee","nominee","nominee","nominee","888","nominee","nominee","1",44,"colorado","democrat","no known","Whittaker, Charles Evans","kennedy, john fitzgerald","democrat","-0.505","66.4","65.4","democrat",-0.138,"0.5","stewart,","0.523","white, b","0.148","0.5","exceptionally well qualified","unanimou","4/11/62","1","4/11/62","reported","2","0","4/11/62","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","4/16/62","4088","457","19","298","100","139","33.22","885","56.21","749","39.38","353","62.37","194","58.26","745","67.03","182","84.78","138","6/28/93","76","departed to spend more time with family","justice","Ginsburg, Ruth Bader","4/15/02","denver,","colorado","84",95
"147","Goldberg, Arthur Joseph",1962,"associat","no, not","yes, nom","147. goldberg, arthur joseph","first re",3.16,"96","888","8/8/08",1908,"chicago,","illinois","chicago,","illinois","urban (l","lower","no tradi","jewish","russian","white","male","Perlstein, Rebecca","Goldberg, Joseph","carter","no polit","no polit","northwes","graduate","1929","3","no gradu","no gradu","no gradu","no gradu","northwes","graduate","1930","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Kurgans, Dorothy","1931","2","army","1942","1944","major","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","illinois","1929","nominee","nominee","nominee","nominee","law  fir","illinois","1929","1933","law  fir","district","1952","1961","john mar","instruct","1939","1942","john mar","instruct","1945","1948","2","yes","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","labor, d","1961","1962","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","8/31/62","8/31/62","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","secretar","1",54,"illinois","democrat","no known","Frankfurter, Felix","kennedy, john fitzgerald","democrat","-0.505","66.4","65.4","democrat",-0.138,"0.75","stewart,","0.523","white, b","0.148","0.915","highly acceptable from standpoint of prof qualifications","vote unc","9/11/62","2","9/25/62","reported","10","0","9/25/62","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","10/1/62","345","36","14","23","14","14","77.59","58","98.25","57","93.1","29","65","20","66.67","84","61.11","18","78.26","23","7/25/65","56","departed to take another position","ambassad","Fortas, Abe","1/19/90","washingt","district","81",96
"148","Fortas, Abe",1965,"associat","no, not","yes, nom","148. fortas, abe","first re",3.17,"97","888","6/19/10",1910,"memphis,","tennesse","memphis,","tennesse","urban (l","lower-mi","no tradi","jewish","english","white","male","Berson, Ray","Fortas, William","cabinetmaker","no polit","no polit","southwes","graduate","1930","1","no gradu","no gradu","no gradu","no gradu","yale uni","graduate","1933","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Agger, Carolyn Eugenia","1935","0","did not","did not","did not","did not","did not","nominee did not clerk for a supreme court justice","nominee","nominee","connecti","1934","district","1945","nominee","nominee","law  fir","district","1946","1965","only one","only one","only one","only one","yale uni","assistan","1933","1937","yale uni","professo","1946","1947","2","yes","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","interior","1941","1946","nominee","nominee","nominee","public w","1939","1940","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","7/28/65","7/28/65","nominee","nominee","nominee","law  fir","district","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","nominee","19",55,"tennesse","democrat","no known","Goldberg, Arthur Joseph","johnson, lyndon baines","democrat","-0.345","83.5","78.2","democrat",-0.204,"1","brennan,","-0.8","goldberg","-0.532","1","highly acceptable from standpoint of prof qualifications","vote unc","8/5/65","1","8/10/65","reported","2","1","8/11/65","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","10/4/65","378","38","21","33","11","13","78.89","90","83.61","61","79.07","43","60","20","70.67","75","64.29","14","43.75","16","5/14/69","58","departed under criticism of unethical behavior","justice","Blackmun, Harry Andrew","4/5/82","washingt","district","71",97
"149","Marshall, Thurgood",1967,"associat","no, not","yes, nom","149. marshall, thurgood","first re",6.14,"98","02.09.01","7/2/08",1908,"baltimor","maryland","baltimor","maryland","urban (l","lower-mi","no tradi","episcopa","african","black","male","Williams, Norma","Marshall, William","club steward","no polit","no polit","lincoln","graduate","1930","1","no gradu","no gradu","no gradu","no gradu","howard u","graduate","1933","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","2","Suyat, Cecilia","1955","2","did not","did not","did not","did not","did not","nominee did not clerk for a supreme court justice","nominee","nominee","maryland","1933","nominee","nominee","nominee","nominee","solo pra","maryland","1933","1936","only one","only one","only one","only one","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","court of","1961","1965","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","1965","1967","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","6/13/67","6/13/67","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","u.s. sol","nominee","nominee","nominee","nominee","888","nominee","nominee","2",58,"new york","democrat","no known","Clark, Tom Campbell","johnson, lyndon baines","democrat","-0.345","83.5","78.2","democrat",-0.1795,"1","black, h","-0.583","black, h","-0.326","0.835","highly acceptable from standpoint of prof qualifications","vote unc","7/13/67","5","8/3/67","reported","0","1","8/30/67","confirme","69","11","nominee","888. NOMINATION NOT WITHDRAWN","10/2/67","3187","317","18","329","42","61","80.17","716","84.8","612","83.7","276","67.88","137","65.03","549","68.25","126","74.19","93","10/1/91","83","advanced age","justice","Thomas, Clarence","1/24/93","washingt","district","84",98
